"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Judicaël Cancoriet",1088,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 9 juin 2018 contre la Nouvelle-Zélande",2,0,"https://fr.wikipedia.org//wiki/Judica%C3%ABl_Cancoriet"
"Raphaël Chaume",1089,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 11 novembre 2017 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Rapha%C3%ABl_Chaume"
"Anthony Jelonch",1090,"le 11 novembre 2017 contre la Nouvelle-Zélande","le 26 février 2023 contre l'Ecosse",25,15,"https://fr.wikipedia.org//wiki/Anthony_Jelonch"
"Sébastien Taofifénua",1091,"le 18 novembre 2017 contre l'Afrique du Sud","le 27 août 2023 contre l'Australie",4,0,"https://fr.wikipedia.org//wiki/S%C3%A9bastien_Taofif%C3%A9nua"
"Gabriel Lacroix",1092,"le 25 novembre 2017 contre le Japon","le 25 novembre 2017 contre le Japon",1,5,"https://fr.wikipedia.org//wiki/Gabriel_Lacroix"
"Sekou Macalou",1093,"le 25 novembre 2017 contre le Japon","le 19 août 2023 contre les Fidji",18,10,"https://fr.wikipedia.org//wiki/Sekou_Macalou"
"Matthieu Jalibert",1094,"le 3 février 2018 contre l'Irlande","le 27 août 2023 contre l'Australie",26,83,"https://fr.wikipedia.org//wiki/Matthieu_Jalibert"
"Geoffrey Palis",1095,"le 3 février 2018 contre l'Irlande","le 11 février 2018 contre l'Écosse",2,0,"https://fr.wikipedia.org//wiki/Geoffrey_Palis"
"Cedate Gomes Sa",1096,"le 3 février 2018 contre l'Irlande","le 17 novembre 2018 contre l'Argentine",10,5,"https://fr.wikipedia.org//wiki/Cedate_Gomes_Sa"
"Adrien Pélissié",1097,"le 3 février 2018 contre l'Irlande","le 23 juin 2018 contre la Nouvelle-Zélande",7,0,"https://fr.wikipedia.org//wiki/Adrien_P%C3%A9lissi%C3%A9"
"Dany Priso",1098,"le 3 février 2018 contre l'Irlande","le 19 novembre 2022 contre le Japon",18,0,"https://fr.wikipedia.org//wiki/Dany_Priso"
"Marco Tauleigne",1099,"le 3 février 2018 contre l'Irlande","le 17 mars 2018 contre le pays de Galles",5,0,"https://fr.wikipedia.org//wiki/Marco_Tauleigne"
"Baptiste Couilloud",1100,"le 23 février 2018 contre l'Italie","le 27 août 2023 contre l'Australie",13,15,"https://fr.wikipedia.org//wiki/Baptiste_Couilloud"
"Mathieu Babillot",1101,"le 17 mars 2018 contre le pays de Galles","le 17 novembre 2018 contre l'Argentine",5,0,"https://fr.wikipedia.org//wiki/Mathieu_Babillot"
"Pierre Bourgarit",1102,"le 16 juin 2018 contre la Nouvelle-Zélande","le 19 août 2023 contre les Fidji",10,5,"https://fr.wikipedia.org//wiki/Pierre_Bourgarit"
"Félix Lambey",1103,"le 23 juin 2018 contre la Nouvelle-Zélande","le 30 août 2019 contre l'Italie",10,0,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Lambey"
"Demba Bamba",1104,"le 24 novembre 2018 contre les Fidji","le 5 août 2023 contre l'Ecosse",26,0,"https://fr.wikipedia.org//wiki/Demba_Bamba"
"Julien Marchand",1105,"le 24 novembre 2018 contre les Fidji","le 27 août 2023 contre l'Australie",31,5,"https://fr.wikipedia.org//wiki/Julien_Marchand"
"Romain Ntamack",1106,"le 1er février 2019 contre le pays de Galles","le 12 août 2023 contre l'Ecosse",37,155,"https://fr.wikipedia.org//wiki/Romain_Ntamack"
"Paul Willemse",1107,"le 1er février 2019 contre le pays de Galles","le 27 août 2023 contre l'Australie",31,10,"https://fr.wikipedia.org//wiki/Paul_Willemse"
"Grégory Alldritt",1108,"le 1er février 2019 contre le pays de Galles","le 27 août 2023 contre l'Australie",42,20,"https://fr.wikipedia.org//wiki/Gr%C3%A9gory_Alldritt"
"Dorian Aldegheri",1109,"le 10 février 2019 contre l'Angleterre","le 27 août 2023 contre l'Australie",11,0,"https://fr.wikipedia.org//wiki/Dorian_Aldegheri"
"Thomas Ramos",1110,"le 10 février 2019 contre l'Angleterre","le 27 août 2023 contre l'Australie",28,200,"https://fr.wikipedia.org//wiki/Thomas_Ramos"
"Étienne Falgoux",1111,"le 23 février 2019 contre l'Écosse","le 16 mars 2019 contre l'Italie",3,0,"https://fr.wikipedia.org//wiki/%C3%89tienne_Falgoux"
"François Cros",1112,"le 17 août 2019 contre l'Écosse","le 27 août 2023 contre l'Australie",22,5,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Cros"
"Alivereti Raka",1113,"le 17 août 2019 contre l'Écosse","le 6 décembre 2020 contre l'Angleterre",5,15,"https://fr.wikipedia.org//wiki/Alivereti_Raka"
"Peato Mauvaka",1114,"le 17 août 2019 contre l'Écosse","le 27 août 2023 contre l'Australie",24,30,"https://fr.wikipedia.org//wiki/Peato_Mauvaka"
"Emerick Setiano",1115,"le 17 août 2019 contre l'Écosse","le 20 octobre 2019 contre le pays de Galles",6,0,"https://fr.wikipedia.org//wiki/Emerick_Setiano"
"Pierre-Louis Barassi",1116,"le 6 octobre 2019 contre les Tonga","le 17 juillet 2021 contre l'Australie",3,5,"https://fr.wikipedia.org//wiki/Pierre-Louis_Barassi"
"Anthony Bouthier",1117,"le 2 février 2020 contre l'Angleterre","le 17 juillet 2021 contre l'Australie",8,5,"https://fr.wikipedia.org//wiki/Anthony_Bouthier"
"Mohamed Haouas",1118,"le 2 février 2020 contre l'Angleterre","le 26 février 2023 contre l'Ecosse",16,0,"https://fr.wikipedia.org//wiki/Mohamed_Haouas"
